"Frequency";"Verification test [FTB-101]" (Magnitude (dB));"H1-X1 [open ] TAP-1" (Magnitude (dB));"H2-X2 [open ] TAP-1" (Magnitude (dB));"H3-X3 [open ] TAP-1" (Magnitude (dB));" X1-H0X0 [open] TAP-1" (Magnitude (dB));"X2-H0X0  [open] TAP-1" (Magnitude (dB));"X3-X0H0 [open] TAP-1" (Magnitude (dB));"Y1-Y3  [ open] TAP-1" (Magnitude (dB));"Y2-Y1 [open] TAP-1" (Magnitude (dB));"Y3-Y2 [ open ] TAP-1" (Magnitude (dB));"H1-X0H0 [short X1-X2-X3] TAP-1" (Magnitude (dB));"H2-X0H0 [short X1-X2-X3 ] TAP-1" (Magnitude (dB));"H3-H0X0 [short X1-X2-X3 ] TAP-1" (Magnitude (dB));"H1-H0X0 [short Y1-Y2-Y3 ] TAP-1" (Magnitude (dB));"H2-H0X0 [short Y1-Y2-Y3 ] TAP-1" (Magnitude (dB));"H3-H0X0 [short Y1-Y2-Y3 ] TAP-1" (Magnitude (dB));"X1-H0X0 [short Y1-Y2-Y3] TAP-1" (Magnitude (dB));"X2-H0X0 [short Y1-Y2-Y3, ] TAP-1" (Magnitude (dB));"X3-X0H0 [short Y1-Y2-Y3 ] TAP-1" (Magnitude (dB));"Verification test [FTB-101] (1)" (Magnitude (dB));"X3-X0H0 [short Y1-Y2-Y3 ] TAP-1 (1)" (Magnitude (dB))
126,194000;-0,033645;-55,180383;-60,367994;-54,856656;-51,147333;-54,270691;-51,161826;-28,654319;-31,435554;-28,986752;-16,333521;-16,283776;-16,408907;-21,886025;-21,807574;-21,812207;-7,747141;-7,148672;-47,336896;-0,032189;-7,172243
132,130997;-0,033130;-56,173551;-62,383180;-56,053562;-51,769862;-55,041516;-51,742057;-29,226339;-32,094067;-29,557978;-16,721038;-16,671753;-16,793631;-22,277148;-22,196902;-22,201132;-8,028983;-7,464121;-47,853387;-0,031849;-7,480156
138,371002;-0,032703;-56,852134;-66,275053;-57,716991;-52,624744;-55,598518;-52,409720;-29,821545;-32,803404;-30,156139;-17,109139;-17,059837;-17,187829;-22,669764;-22,591372;-22,594556;-8,318942;-7,787329;-48,366672;-0,031395;-7,794421
144,891006;-0,032686;-58,903374;-68,783916;-58,933667;-53,083550;-56,457123;-53,026428;-30,474239;-33,563269;-30,814895;-17,498121;-17,451424;-17,573400;-23,064638;-22,984993;-22,987125;-8,615660;-8,114758;-48,951186;-0,031116;-8,114271
151,712006;-0,036139;-60,508587;-75,660645;-60,911252;-53,818389;-57,234073;-53,715238;-31,145639;-34,377377;-31,494501;-17,890478;-17,839462;-17,965952;-23,454489;-23,380994;-23,381545;-8,918652;-8,446878;-49,499882;-0,032668;-8,439279
158,860001;-0,037342;-62,933375;-81,265343;-63,550872;-54,520956;-58,220348;-54,413278;-31,869571;-35,261851;-32,226824;-18,272091;-18,223109;-18,348601;-23,851032;-23,773273;-23,773984;-9,228500;-8,784202;-50,117270;-0,037011;-8,770316
166,356995;-0,035686;-64,999017;-69,286852;-67,410401;-55,511670;-59,117754;-55,268146;-32,670047;-36,234145;-33,046649;-18,665582;-18,615669;-18,741294;-24,243638;-24,171521;-24,171619;-9,546552;-9,128074;-50,715427;-0,035973;-9,107454
174,203995;-0,034046;-71,877784;-66,923713;-70,629450;-56,067745;-60,387091;-56,129995;-33,547181;-37,334333;-33,968376;-19,056684;-19,009127;-19,131340;-24,642048;-24,567942;-24,566281;-9,870793;-9,477041;-51,403469;-0,033906;-9,449387
182,399994;-0,033287;-76,442520;-63,164942;-79,426217;-57,302821;-61,700535;-57,015864;-34,486956;-38,535094;-34,931301;-19,448116;-19,400562;-19,526064;-25,036038;-24,963629;-24,962690;-10,198413;-9,828167;-52,022459;-0,032816;-9,795510
190,990997;-0,033558;-73,502586;-61,204126;-72,709655;-58,128275;-63,267480;-58,008114;-35,569524;-39,946832;-36,060237;-19,842229;-19,792728;-19,918218;-25,428623;-25,361556;-25,358658;-10,530406;-10,181092;-52,769107;-0,032616;-10,143843
200,001999;-0,033802;-67,632720;-59,287963;-66,987342;-59,246770;-64,768389;-59,192780;-36,826057;-41,608659;-37,399503;-20,233254;-20,186458;-20,309526;-25,827571;-25,757297;-25,754281;-10,867943;-10,538731;-53,528276;-0,032982;-10,495673
204,658005;-0,033845;-65,542635;-58,573998;-65,189320;-59,885754;-65,868648;-59,818464;-37,529108;-42,487548;-38,146780;-20,428484;-20,380418;-20,505549;-26,021990;-25,956302;-25,952475;-11,038711;-10,719335;-53,924980;-0,032842;-10,673950
209,431000;-0,034063;-63,815434;-57,980327;-63,697667;-60,595136;-67,192955;-60,545551;-38,313551;-43,548663;-39,011763;-20,625178;-20,576776;-20,702188;-26,219633;-26,155280;-26,150412;-11,211482;-10,900482;-54,320911;-0,032956;-10,853022
